ID,Na23,Fe57,Zn66,Rb85,Mn55,K39,Se82,P31,Cu65,Mg25,Sr88,As75,Cd114,Ca43,Co59,Mo98,S34,Li7
915,43.827724,19.77459,27.575005,37.67774,25.918148,6299.976,20.148926,5076.9775,2.842409,1308.0831,6.4094,1.496692,0.19446333,4485.448,0.29323536,0.8844368,4096.5903,2.8023682
932,73.38419,20.311455,25.845724,36.041466,25.695816,5833.273,10.997377,5117.8696,2.8341775,1175.4722,7.3077917,1.4442139,0.14580813,4949.6987,0.26831216,0.9474707,3481.3684,1.6069299
991,89.2687,18.940609,21.482136,36.93167,25.322298,5703.156,0.38599452,5084.8545,2.5778778,1303.5939,6.3810215,1.6402193,0.15730558,4374.191,0.3047309,2.8750105,3076.6833,1.4867849
992,45.145073,22.453983,29.48717,33.98776,26.370916,6131.4062,-3.4681134,5327.726,2.6307414,1450.3936,5.8105936,1.5417528,0.16739382,4630.6553,0.29139125,2.7324147,3124.3594,2.1831567
997,38.157253,21.324709,19.44337,35.63735,28.014084,6536.1357,-2.2136173,5346.7217,2.6428738,1624.7822,6.6300707,1.628671,0.046215344,4650.3076,0.29943895,1.6246649,3461.1094,2.472996
1002,42.68738,20.294819,19.420269,32.920906,29.082983,5424.539,3.818379,5268.712,2.532135,1395.3444,7.340198,1.4812344,0.103507526,5260.5215,0.28971985,3.2603023,3319.6428,3.2758145
1061,38.73421,21.15806,22.26253,34.300774,28.061193,6047.2075,5.9496098,5077.376,2.6325881,1527.3423,6.0708404,1.7179216,0.06564255,4501.9927,0.28882045,1.4326627,3103.1814,2.7895145
1062,21.946377,19.711649,18.62459,39.540417,23.525295,6577.717,6.3195972,4988.289,2.5622857,1514.4469,5.1509,1.7727718,0.08982454,4384.3955,0.23034793,0.8483553,3454.948,1.6118602
1063,26.900906,21.12726,25.28804,35.999424,29.99541,6011.201,6.130415,5182.649,2.7678359,1382.041,7.3172383,1.5688683,0.113402195,4900.299,0.3010574,0.8927626,3637.278,1.8263186
1066,37.630463,20.75149,22.929482,37.31724,27.636322,6803.887,6.5119653,5068.3384,2.8085735,1432.7657,5.815604,1.9254128,0.16219586,4437.108,0.29648486,0.99741435,3306.0647,2.5787814
