ID,TYPE,Na23,Fe57,Zn66,Rb85,Mn55,K39,Se82,P31,Cu65,Mg25,Sr88,As75,Cd114,Ca43,Co59,Mo98,S34,Li7
1954,Feuille,700.7144,143.80847,96.099,408.15567,242.37598,65719.48,59.214092,16026.492,7.340325,4592.2734,69.805916,0.9709285,2.9966297,43089.527,2.564965,4.357979,11877.63,15.018362
2016,Feuille,823.0623,143.43532,91.009125,552.32367,233.2137,88199.09,76.99598,17316.984,8.534425,4273.459,60.190445,0.87169343,2.8746831,40745.65,2.109313,4.7843575,14517.854,15.438441
2171,Feuille,2158.699,140.26822,88.08317,412.22913,218.3313,69149.13,58.566875,16670.934,7.670991,5102.564,69.372604,0.9969433,2.4526381,42767.273,1.8310487,3.356577,10705.9795,15.867615
2202,Feuille,834.52094,141.26686,93.07528,441.13205,223.92595,75230.11,71.07534,17144.889,8.215135,4618.7847,66.86045,1.1176087,2.2531095,41854.598,1.9749712,5.538452,13153.447,14.099076
2276,Feuille,1525.5143,140.41557,91.03577,386.4687,231.29712,69046.836,72.887596,15481.559,7.943713,4769.045,66.24314,0.8533121,2.4373503,42334.305,2.4475782,20.364843,13188.372,13.767113
2278,Feuille,1085.551,145.07507,91.423355,372.37244,230.28365,66645.28,65.33969,14851.802,8.995178,4967.413,70.30456,0.9731827,2.4995434,45273.066,1.9385138,4.628202,12385.289,15.700374
2317,Feuille,875.97516,139.48988,92.64942,389.19263,235.92374,71357.055,65.30708,18247.451,7.679065,4462.3896,63.93493,1.0237361,2.5278707,37851.97,2.474372,13.069417,13417.249,13.971448
4779,Feuille,1221.5895,141.31027,90.95457,421.48703,224.99626,78244.38,73.6254,17820.727,8.384526,4563.8228,60.240902,0.85806704,2.1823912,39496.312,2.1951454,5.584022,13176.358,13.986409
4807,Feuille,485.95453,142.59033,89.86212,416.9634,217.10614,74586.234,65.44402,14333.512,7.045765,5295.0483,65.51632,0.87833047,2.26687,45020.06,2.030617,3.671962,12314.575,13.729648
4826,Feuille,1499.802,138.9131,87.36784,421.9097,225.1402,67570.31,87.655495,15838.444,7.347521,4923.4673,64.78435,0.8418596,2.140047,43107.914,1.6034153,25.207333,13782.652,15.128956
4884,Feuille,1253.8259,144.1872,92.21119,356.56137,214.69637,61773.223,62.61378,16022.052,7.530591,5147.393,70.76455,1.0021675,2.2636006,43809.1,2.4410574,4.175022,10237.855,15.662761
4900,Feuille,1658.3541,141.28322,90.97744,440.90616,215.35657,66461.484,66.905655,17350.836,7.967161,5147.1846,68.92246,0.9215761,2.2505524,43371.63,2.1668746,5.511191,11972.943,15.232389
